# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     85     26     25      0      0      0      0      0      0   1593   1155  74021  74022      0 
    1     84     27     25      0      0      0      0      0      0   1593   1155  74021  74022      0 
    0    313     33     38    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    312     34     38    100     69      0      0      0      0   1593   1410  74021  74022      0 
    0    318     35     40    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    316     36     41    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    315     35     42    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    315     36     43    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    322     36     42     96     66      0      0      0      0   1593   1410  74021  74022      0 
    1    318     37     43     96     66      0      0      0      0   1593   1410  74021  74022      0 
    0    320     37     43    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    296     37     43    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    321     37     43    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    312     38     43    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    266     37     44     96     67      0      0      0      0   1593   1410  74021  74022      0 
    1    303     38     44    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    325     38     44    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    314     38     45     96     68      0      0      0      0   1593   1410  74021  74022      0 
    0    325     38     45    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    312     39     45    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    325     38     45    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    313     39     45    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    315     38     45    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    300     39     46     96     68      0      0      0      0   1593   1410  74021  74022      0 
    0    315     38     46     96     68      0      0      0      0   1593   1410  74021  74022      0 
    1    313     39     46    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    314     39     46    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    310     40     46    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    315     39     46    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    309     40     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    315     39     46    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    309     40     47     96     68      0      0      0      0   1593   1410  74021  74022      0 
    0    314     39     46     96     68      0      0      0      0   1593   1410  74021  74022      0 
    1    309     40     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    314     39     46    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    313     40     46    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    316     39     46    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    313     40     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    304     39     46    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    312     40     47    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    314     40     47    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    311     41     47    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    314     40     47     96     68      0      0      0      0   1593   1410  74021  74022      0 
    1    310     41     47     96     67      0      0      0      0   1593   1410  74021  74022      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    314     40     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    311     41     48    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    315     40     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    238     41     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    316     40     48     96     68      0      0      0      0   1593   1410  74021  74022      0 
    1    313     41     48    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    317     40     47    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    305     41     48    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    312     40     48    100     69      0      0      0      0   1593   1410  74021  74022      0 
    1    312     41     48    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    317     40     47    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    312     41     48    100     70      0      0      0      0   1593   1410  74021  74022      0 
